state,x,y
Alabama,120,-87
Alaska,-215,-180
Arizona,-213,-40
Arkansas,37,-53
California,-315,13
Colorado,-125,20
Connecticut,282,85
Delaware,255,42
Florida,200,-145
Georgia,162,-75
Hawaii,-307,-143
Idaho,-214,115
Illinois,75,37
Indiana,120,39
Iowa,18,65
Kansas,-37,5
Kentucky,129,-11
Louisiana,39,-114
Maine,309,164
Maryland,256,27
Massachusetts,292,102
Michigan,128,101
Minnesota,3,135
Mississippi,72,-78
Missouri,29,6
Montana,-161,150
Nebraska,-81,66
Nevada,-277,56
New Hampshire,275,120
New Jersey,262,65
New Mexico,-148,-43
New York,226,99
North Carolina,219,-22
North Dakota,-64,158
Ohio,156,52
Oklahoma,-28,-41
Oregon,-298,138
Pennsylvania,208,70
Rhode Island,290,90
South Carolina,198,-51
South Dakota,-64,109
Tennessee,111,-34
Texas,-58,-106
Utah,-199,34
Vermont,264,132
Virginia,220,9
Washington,-277,193
West Virginia,180,20
Wisconsin,63,113
Wyoming,-154,90
